# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
B2B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
B840 | __text | 22018 | _NDR_record | struct_pointer | struct_data
B848 | __text | 22018 | _NDR_record | struct_pointer | struct_data
B940 | __text | 22018 | _NDR_record | struct_pointer | struct_data
B948 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BA44 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BA4C | __text | 22018 | _NDR_record | struct_pointer | struct_data
BB74 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BB7C | __text | 22018 | _NDR_record | struct_pointer | struct_data
BC74 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BC7C | __text | 22018 | _NDR_record | struct_pointer | struct_data
BD70 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BD78 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BE94 | __text | 22018 | _NDR_record | struct_pointer | struct_data
BE9C | __text | 22018 | _NDR_record | struct_pointer | struct_data
C060 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C068 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C160 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C168 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C270 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C278 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C388 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C390 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C4D8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C4E0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C5E0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C5E8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C73C | __text | 22018 | _NDR_record | struct_pointer | struct_data
C748 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C894 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C89C | __text | 22018 | _NDR_record | struct_pointer | struct_data
C998 | __text | 22018 | _NDR_record | struct_pointer | struct_data
C9A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
CC5C | __text | 22018 | _NDR_record | struct_pointer | struct_data
CC64 | __text | 22018 | _NDR_record | struct_pointer | struct_data
CDA4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
CDAC | __text | 22018 | _NDR_record | struct_pointer | struct_data
CEE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
CEEC | __text | 22018 | _NDR_record | struct_pointer | struct_data
CFE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
CFEC | __text | 22018 | _NDR_record | struct_pointer | struct_data
D0EC | __text | 22018 | _NDR_record | struct_pointer | struct_data
D0F4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D248 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D250 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D37C | __text | 22018 | _NDR_record | struct_pointer | struct_data
D384 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D480 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D488 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D58C | __text | 22018 | _NDR_record | struct_pointer | struct_data
D594 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D690 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D698 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D7D0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D7D8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D8D4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D8DC | __text | 22018 | _NDR_record | struct_pointer | struct_data
D9D8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
D9E0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DAF0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DAF8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DC60 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DC68 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DDC4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DDCC | __text | 22018 | _NDR_record | struct_pointer | struct_data
DED4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DEDC | __text | 22018 | _NDR_record | struct_pointer | struct_data
DFE0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
DFE8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E110 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E118 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E218 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E220 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E328 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E330 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E46C | __text | 22018 | _NDR_record | struct_pointer | struct_data
E484 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E5E8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E5F0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E744 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E74C | __text | 22018 | _NDR_record | struct_pointer | struct_data
E940 | __text | 22018 | _NDR_record | struct_pointer | struct_data
E948 | __text | 22018 | _NDR_record | struct_pointer | struct_data
EB44 | __text | 22018 | _NDR_record | struct_pointer | struct_data
EB5C | __text | 22018 | _NDR_record | struct_pointer | struct_data
ECD4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
ECDC | __text | 22018 | _NDR_record | struct_pointer | struct_data
EE24 | __text | 22018 | _NDR_record | struct_pointer | struct_data
EE2C | __text | 22018 | _NDR_record | struct_pointer | struct_data
EFD8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
EFE0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F0A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F0A8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F154 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F15C | __text | 22018 | _NDR_record | struct_pointer | struct_data
F1C4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F1CC | __text | 22018 | _NDR_record | struct_pointer | struct_data
F470 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F478 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F574 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F57C | __text | 22018 | _NDR_record | struct_pointer | struct_data
F678 | __text | 22018 | _NDR_record | struct_pointer | struct_data
F680 | __text | 22018 | _NDR_record | struct_pointer | struct_data
FA28 | __text | 22018 | _NDR_record | struct_pointer | struct_data
FA34 | __text | 22018 | _NDR_record | struct_pointer | struct_data
FCE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
FCEC | __text | 22018 | _NDR_record | struct_pointer | struct_data
100B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
100BC | __text | 22018 | _NDR_record | struct_pointer | struct_data
10294 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1029C | __text | 22018 | _NDR_record | struct_pointer | struct_data
103CC | __text | 22018 | _NDR_record | struct_pointer | struct_data
103D4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10640 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10648 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10778 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10780 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10934 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1093C | __text | 22018 | _NDR_record | struct_pointer | struct_data
10BC8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10BD0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10E34 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10E3C | __text | 22018 | _NDR_record | struct_pointer | struct_data
10F44 | __text | 22018 | _NDR_record | struct_pointer | struct_data
10F50 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1126C | __text | 22018 | _NDR_record | struct_pointer | struct_data
11274 | __text | 22018 | _NDR_record | struct_pointer | struct_data
114D0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
114DC | __text | 22018 | _NDR_record | struct_pointer | struct_data
11674 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1167C | __text | 22018 | _NDR_record | struct_pointer | struct_data
117AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
117B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
119FC | __text | 22018 | _NDR_record | struct_pointer | struct_data
11A04 | __text | 22018 | _NDR_record | struct_pointer | struct_data
11C68 | __text | 22018 | _NDR_record | struct_pointer | struct_data
11C74 | __text | 22018 | _NDR_record | struct_pointer | struct_data
11DB4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
11DBC | __text | 22018 | _NDR_record | struct_pointer | struct_data
12090 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1209C | __text | 22018 | _NDR_record | struct_pointer | struct_data
121D0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
121D8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12440 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12448 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1254C | __text | 22018 | _NDR_record | struct_pointer | struct_data
12554 | __text | 22018 | _NDR_record | struct_pointer | struct_data
127D4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
127DC | __text | 22018 | _NDR_record | struct_pointer | struct_data
128DC | __text | 22018 | _NDR_record | struct_pointer | struct_data
128E4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12B50 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12B60 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12CDC | __text | 22018 | _NDR_record | struct_pointer | struct_data
12CE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12E98 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12EA4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12FD4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
12FDC | __text | 22018 | _NDR_record | struct_pointer | struct_data
13570 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13578 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1372C | __text | 22018 | _NDR_record | struct_pointer | struct_data
13738 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1386C | __text | 22018 | _NDR_record | struct_pointer | struct_data
13878 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13C78 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13C80 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13DE8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13DF0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
13EFC | __text | 22018 | _NDR_record | struct_pointer | struct_data
13F04 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1402C | __text | 22018 | _NDR_record | struct_pointer | struct_data
14034 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14298 | __text | 22018 | _NDR_record | struct_pointer | struct_data
142A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
145EC | __text | 22018 | _NDR_record | struct_pointer | struct_data
145F4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14A54 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14A60 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14BC0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14BC8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14CD8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14CE0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14E48 | __text | 22018 | _NDR_record | struct_pointer | struct_data
14E50 | __text | 22018 | _NDR_record | struct_pointer | struct_data
