# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
6560 | __text | A0E6 | sel_appReBecomeActive | string_pointer | "appReBecomeActive"
6560 | __text | E230 | selRef_appReBecomeActive | data_pointer | data_item_size=8
65AC | __text | 9FB5 | sel_bundleIdentifier | string_pointer | "bundleIdentifier"
65AC | __text | E1B8 | selRef_bundleIdentifier | data_pointer | data_item_size=8
65C0 | __text | A0F8 | sel_fakeSwitch | string_pointer | "fakeSwitch"
65C0 | __text | E238 | selRef_fakeSwitch | data_pointer | data_item_size=8
65D4 | __text | 9FDD | sel_allBundleIdentifierConfig | string_pointer | "allBundleIdentifierConfig"
65D4 | __text | E1C8 | selRef_allBundleIdentifierConfig | data_pointer | data_item_size=8
65E8 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
65E8 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
6600 | __text | C510 | cfstr_La | struct_pointer | struct_data
6618 | __text | C530 | cfstr_Lo | struct_pointer | struct_data
6644 | __text | E538 | classRef_CLLocation | data_pointer | data_item_size=8
6648 | __text | E538 | classRef_CLLocation | data_pointer | data_item_size=8
6648 | __text | EA60 | _OBJC_CLASS_$_CLLocation | unknown_pointer | 
6650 | __text | A103 | sel_initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:course:sp... | string_pointer | "initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:course:speed:..."
6650 | __text | E240 | selRef_initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:course... | data_pointer | data_item_size=8
6658 | __text | A15B | sel_instancesRespondToSelector: | string_pointer | "instancesRespondToSelector:"
6658 | __text | E248 | selRef_instancesRespondToSelector: | data_pointer | data_item_size=8
6668 | __text | E538 | classRef_CLLocation | data_pointer | data_item_size=8
6668 | __text | EA60 | _OBJC_CLASS_$_CLLocation | unknown_pointer | 
6670 | __text | 9338 | sel_alloc | string_pointer | "alloc"
6670 | __text | E0D8 | selRef_alloc | data_pointer | data_item_size=8
6680 | __text | A177 | sel_doubleValue | string_pointer | "doubleValue"
6680 | __text | E250 | selRef_doubleValue | data_pointer | data_item_size=8
66B8 | __text | A183 | sel_altitude | string_pointer | "altitude"
66B8 | __text | E258 | selRef_altitude | data_pointer | data_item_size=8
66CC | __text | A18C | sel_horizontalAccuracy | string_pointer | "horizontalAccuracy"
66CC | __text | E260 | selRef_horizontalAccuracy | data_pointer | data_item_size=8
